device_id,cpu_usage,memory_usage,temperature_c,uptime_hours,downtime_event
DEV0410,61,87,56,8368,0
DEV0174,24,82,60,2409,0
DEV0101,81,83,64,8008,0
DEV0186,70,51,49,9317,0
DEV0458,30,98,66,4539,0
DEV0030,92,32,76,6489,0
DEV0470,96,85,58,3658,0
DEV0380,84,38,48,8108,0
DEV0312,84,43,59,945,0
DEV0350,97,30,37,8984,0
DEV0288,33,78,63,1432,0
DEV0078,12,34,64,6400,0
DEV0023,31,29,76,1374,0
DEV0017,62,60,58,7266,0
DEV0122,11,46,64,9536,0
DEV0228,97,79,51,437,0
DEV0477,39,92,56,3394,1
DEV0408,47,71,44,436,0
DEV0175,11,47,58,1967,0
DEV0395,73,84,56,7014,1
DEV0041,69,36,62,594,0
DEV0015,30,63,53,4742,0
DEV0214,42,29,60,3986,0
DEV0091,85,82,56,8452,0
DEV0052,67,66,56,2136,0
DEV0418,31,57,60,9799,0
DEV0316,98,89,60,5183,0
DEV0057,58,95,67,3660,0
DEV0289,68,72,58,9667,0
DEV0149,51,97,56,9845,0
DEV0408,69,63,58,2381,1
DEV0020,89,93,52,1701,0
DEV0369,24,73,56,1399,0
DEV0324,71,39,80,9002,0
DEV0101,71,98,50,4267,0
DEV0357,56,50,57,2146,0
DEV0188,71,26,56,2981,0
DEV0430,60,77,57,5574,0
DEV0033,64,29,56,1917,1
DEV0031,73,29,62,2298,0
DEV0162,12,58,42,3432,0
DEV0278,60,47,70,1203,0
DEV0362,16,49,66,3277,0
DEV0286,30,56,47,4915,0
DEV0005,82,86,37,2277,0
DEV0169,48,62,50,1294,0
DEV0173,27,98,57,4601,0
DEV0215,13,71,85,6141,0
DEV0317,98,75,65,8827,0
DEV0117,69,95,41,7160,0
DEV0255,23,87,53,9361,0
DEV0269,18,28,59,8424,1
DEV0252,99,42,62,363,1
DEV0393,62,82,46,4562,1
DEV0206,11,80,58,7068,0
DEV0209,93,59,52,2152,0
DEV0163,69,63,48,5046,1
DEV0274,80,43,62,5925,1
DEV0383,53,70,67,6144,0
DEV0140,17,77,68,4189,0
DEV0375,56,52,65,457,0
DEV0169,44,35,55,5605,1
DEV0144,87,41,67,4520,0
DEV0222,90,76,63,9042,1
DEV0269,45,81,61,3350,0
DEV0380,59,90,53,6662,0
DEV0402,13,91,55,2358,0
DEV0076,11,89,60,9202,0
DEV0118,15,49,84,3910,0
DEV0098,63,42,63,683,0
DEV0435,13,51,53,3538,0
DEV0033,63,76,51,8868,0
DEV0454,72,28,55,6457,0
DEV0338,27,50,81,9444,0
DEV0067,99,90,56,6246,0
DEV0310,53,28,69,5090,0
DEV0006,43,32,56,1883,1
DEV0292,83,77,62,1193,0
DEV0241,71,22,67,4632,0
DEV0055,23,54,54,5217,0
DEV0383,57,40,53,8038,0
DEV0434,24,83,76,6846,1
DEV0470,81,71,69,2233,0
DEV0071,87,53,67,8809,0
DEV0094,96,54,67,9033,0
DEV0450,71,34,64,6220,0
DEV0480,49,25,80,2577,0
DEV0143,94,51,60,5058,1
DEV0022,89,71,65,6237,0
DEV0049,91,47,45,2976,0
DEV0422,62,83,51,142,0
DEV0136,33,98,47,5929,0
DEV0392,35,97,72,3541,0
DEV0231,98,38,34,8695,0
DEV0100,69,34,55,9618,0
DEV0468,50,25,30,6446,0
DEV0293,38,92,51,6949,1
DEV0200,24,57,55,6786,0
DEV0334,54,45,73,2750,0
DEV0468,74,70,63,4445,0
DEV0121,98,92,51,977,0
DEV0227,80,72,70,1986,0
DEV0409,18,75,60,1403,0
DEV0466,97,78,60,1840,0
DEV0438,10,89,47,1212,0
DEV0239,17,97,50,3976,1
DEV0277,97,77,51,6140,1
DEV0101,72,32,60,7552,0
DEV0383,20,62,60,6218,0
DEV0495,90,95,75,8539,0
DEV0187,17,70,63,6895,1
DEV0159,44,38,32,7144,1
DEV0006,44,40,62,667,0
DEV0170,42,43,45,6058,0
DEV0375,14,45,50,9480,0
DEV0180,50,64,51,1453,1
DEV0431,37,47,53,5129,1
DEV0212,16,48,46,9272,0
DEV0412,82,36,62,5065,0
DEV0489,81,87,45,268,0
DEV0164,21,63,63,7812,0
DEV0128,43,80,82,2771,1
DEV0296,42,87,46,478,1
DEV0218,57,93,57,2032,0
DEV0141,32,44,34,293,0
DEV0433,71,86,56,8555,0
DEV0132,97,21,66,9763,0
DEV0354,46,68,67,4716,0
DEV0251,53,89,60,5114,0
DEV0378,95,45,68,7978,0
DEV0101,44,91,85,1400,0
DEV0320,74,46,77,3300,0
DEV0098,56,37,54,3473,0
DEV0336,87,73,45,8865,0
DEV0279,12,20,55,9829,0
DEV0186,10,80,50,1483,0
DEV0343,14,22,64,9672,1
DEV0143,99,87,48,3637,0
DEV0345,23,60,59,8024,0
DEV0349,36,56,68,9815,0
DEV0356,18,70,58,5091,0
DEV0383,88,34,50,5302,0
DEV0079,24,27,71,4032,0
DEV0357,99,57,41,3722,0
DEV0355,51,75,56,9187,0
DEV0430,86,66,59,564,0
DEV0039,60,29,60,8080,0
DEV0303,72,97,61,1710,0
DEV0037,61,68,66,8904,0
DEV0425,13,60,59,704,0
DEV0348,32,49,56,8067,1
DEV0429,24,24,55,720,0
DEV0286,52,90,53,2702,0
DEV0455,38,50,67,6573,0
DEV0324,45,71,53,3900,0
DEV0007,22,42,68,7198,1
DEV0353,41,67,60,6638,1
DEV0303,80,59,54,255,0
DEV0303,68,25,66,8260,0
DEV0210,95,57,52,6781,0
DEV0079,37,60,66,2815,0
DEV0382,75,46,62,4439,0
DEV0355,51,94,54,8170,1
DEV0357,54,88,65,6790,0
DEV0444,71,76,65,549,0
DEV0133,66,36,71,1169,0
DEV0176,15,90,69,4117,1
DEV0087,37,66,64,2919,0
DEV0249,37,98,48,2385,0
DEV0458,53,32,84,9482,1
DEV0217,93,30,45,1499,1
DEV0406,39,43,69,2348,0
DEV0351,71,92,64,6475,0
DEV0407,84,23,48,823,0
DEV0092,98,65,58,9733,0
DEV0429,71,37,59,5373,0
DEV0207,10,62,73,7635,0
DEV0232,36,99,52,4920,1
DEV0308,71,52,57,186,1
DEV0199,86,29,36,7797,0
DEV0430,12,92,77,6946,0
DEV0038,79,78,49,4249,1
DEV0424,81,50,63,1851,0
DEV0399,36,47,58,5261,0
DEV0369,18,79,59,3520,0
DEV0453,71,22,68,4937,0
DEV0396,46,74,76,2583,1
DEV0077,60,33,62,3312,0
DEV0067,53,77,66,4022,1
DEV0185,33,34,63,6410,0
DEV0377,88,21,70,6142,0
DEV0275,68,43,55,8113,0
DEV0090,41,97,70,9778,0
DEV0286,97,83,71,3627,0
DEV0348,61,90,70,8364,1
DEV0207,71,43,53,9016,0
DEV0018,67,46,58,3854,0
DEV0244,61,56,62,8262,1
DEV0319,21,58,46,4465,0
DEV0007,48,82,75,8510,0
DEV0188,11,98,59,646,0
DEV0462,12,45,62,3829,0
DEV0088,65,84,54,7450,0
DEV0116,90,23,46,5984,0
DEV0499,68,48,53,2068,1
DEV0063,11,20,62,4616,0
DEV0441,11,69,66,1359,0
DEV0344,63,30,61,7092,0
DEV0075,96,93,63,7856,0
DEV0379,10,78,56,3033,0
DEV0295,28,81,64,2609,0
DEV0171,11,55,74,1662,0
DEV0232,62,75,67,8175,0
DEV0440,53,40,68,3769,0
DEV0394,99,32,62,2581,0
DEV0248,41,28,44,7298,0
DEV0363,79,30,49,304,0
DEV0225,41,94,64,841,0
DEV0276,77,89,59,7149,0
DEV0362,64,20,64,4363,0
DEV0192,84,89,76,7937,0
DEV0167,65,96,67,4837,0
DEV0470,26,75,72,1205,0
DEV0099,47,50,60,6930,0
DEV0371,33,56,51,4297,0
DEV0412,78,66,59,188,0
DEV0228,79,97,51,6588,0
DEV0414,95,66,75,3481,0
DEV0314,20,88,67,3285,0
DEV0326,25,77,65,6779,0
DEV0062,82,55,72,6406,0
DEV0129,68,51,39,964,0
DEV0250,79,83,65,8346,0
DEV0452,89,90,46,4771,0
DEV0409,12,61,59,657,0
DEV0423,29,67,56,9284,0
DEV0139,68,93,66,4391,0
DEV0230,45,49,62,547,0
DEV0059,28,40,73,1921,0
DEV0165,99,79,53,3919,1
DEV0204,76,32,67,191,1
DEV0413,28,20,61,707,0
DEV0098,29,84,43,9543,0
DEV0338,80,52,50,385,0
DEV0246,61,57,58,3021,0
DEV0137,42,44,71,201,0
DEV0046,49,45,64,3935,0
DEV0204,48,96,48,8269,0
DEV0393,91,78,58,4335,0
DEV0193,10,52,80,9970,0
DEV0327,20,60,61,7609,1
DEV0359,66,49,56,6816,1
DEV0042,98,76,64,634,0
DEV0162,59,68,67,6766,0
DEV0224,32,67,55,8307,0
DEV0254,40,91,65,8852,0
DEV0284,51,68,56,3025,0
DEV0218,16,66,67,1009,0
DEV0100,25,75,61,9705,0
DEV0061,99,84,64,5108,1
DEV0040,69,31,52,218,0
DEV0182,11,88,51,3213,0
DEV0059,10,25,69,6253,0
DEV0462,57,84,59,1591,0
DEV0429,21,44,62,2196,0
DEV0223,78,20,56,8044,0
DEV0208,46,51,68,2354,0
DEV0423,41,22,53,8805,1
DEV0170,18,68,58,6203,0
DEV0139,28,38,67,1333,0
DEV0203,57,79,71,5358,0
DEV0254,89,48,54,9771,0
DEV0166,12,69,79,5731,0
DEV0057,29,21,63,3449,0
DEV0123,33,92,49,9832,0
DEV0396,63,75,63,229,1
DEV0426,42,36,56,3816,0
DEV0447,33,79,64,6854,0
DEV0137,84,55,59,3843,0
DEV0406,81,80,60,1871,0
DEV0422,45,36,50,4554,0
DEV0457,47,68,69,6870,0
DEV0250,93,95,48,7350,0
DEV0057,98,79,48,5373,0
DEV0067,34,39,63,8797,0
DEV0231,27,69,76,5728,0
DEV0483,91,22,56,5013,0
DEV0244,75,62,67,9130,0
DEV0286,63,76,70,4818,0
DEV0121,44,69,68,2776,0
DEV0410,89,87,56,196,1
DEV0456,70,69,49,2063,0
DEV0054,50,56,37,5501,0
DEV0288,42,65,57,7867,0
DEV0278,77,61,71,698,0
DEV0392,42,34,48,4063,0
DEV0365,23,52,67,8720,0
DEV0066,30,99,50,7393,0
DEV0270,57,30,61,1424,0
DEV0389,29,39,67,8211,0
DEV0013,17,43,53,1867,0
DEV0343,16,83,61,5264,0
DEV0124,76,99,55,9808,0
DEV0077,26,84,67,1439,0
DEV0339,42,92,62,9268,0
DEV0024,57,95,60,6566,0
DEV0035,85,36,75,9906,0
DEV0462,68,80,66,9876,0
DEV0324,95,34,53,5563,0
DEV0410,31,70,59,5590,0
DEV0074,39,46,59,4161,0
DEV0486,47,93,60,7704,0
DEV0422,60,80,85,1370,0
DEV0290,63,77,63,318,0
DEV0290,17,50,39,633,0
DEV0019,36,31,54,8051,1
DEV0259,36,65,40,9787,1
DEV0116,30,50,56,9665,0
DEV0292,39,51,40,3923,0
DEV0260,37,51,51,164,0
DEV0378,73,72,44,4441,0
DEV0154,78,80,63,5182,0
DEV0203,70,65,60,3085,0
DEV0131,57,93,63,5694,0
DEV0128,28,99,58,4013,0
DEV0433,13,26,46,9340,1
DEV0265,44,23,65,8117,0
DEV0302,73,71,79,4355,0
DEV0450,58,50,64,1104,0
DEV0270,26,94,55,2222,0
DEV0003,53,55,45,6796,0
DEV0258,39,73,50,4081,0
DEV0342,55,73,64,571,1
DEV0477,15,36,70,3505,0
DEV0417,46,94,62,408,0
DEV0100,33,49,67,7795,0
DEV0394,55,41,67,7807,0
DEV0367,62,62,65,3147,0
DEV0053,69,46,53,2117,0
DEV0428,72,56,61,4981,0
DEV0166,94,65,51,1578,0
DEV0149,41,54,60,4297,0
DEV0479,96,23,63,7821,0
DEV0163,42,99,76,4970,0
DEV0451,76,99,46,3559,0
DEV0083,27,45,64,9523,0
DEV0022,34,38,74,5534,1
DEV0020,63,64,67,671,0
DEV0356,67,45,68,3689,0
DEV0211,76,41,65,8439,0
DEV0366,55,77,72,6018,1
DEV0324,33,82,49,696,0
DEV0352,41,47,46,5173,0
DEV0008,56,84,59,1170,0
DEV0307,95,63,38,4350,0
DEV0154,32,62,72,4425,0
DEV0051,75,56,72,3471,0
DEV0246,36,85,55,257,1
DEV0449,11,36,56,9214,1
DEV0154,99,59,59,3418,0
DEV0246,26,57,60,6811,1
DEV0303,42,80,61,7321,0
DEV0043,18,28,65,9538,0
DEV0393,52,96,58,9057,0
DEV0163,57,94,69,2712,0
DEV0466,48,80,64,4662,0
DEV0147,51,99,53,543,1
DEV0432,35,35,73,6073,0
DEV0336,59,21,46,1004,0
DEV0156,34,91,59,3010,0
DEV0003,33,62,69,1901,0
DEV0146,22,61,52,1025,0
DEV0269,69,96,63,7951,0
DEV0411,16,76,65,6030,1
DEV0244,66,86,51,9043,1
DEV0296,45,49,59,9526,0
DEV0295,54,32,58,3022,0
DEV0314,29,38,54,8954,0
DEV0057,74,26,83,7655,0
DEV0280,17,28,52,9876,0
DEV0477,25,73,70,1019,1
DEV0119,23,80,56,5104,0
DEV0022,85,21,49,4319,0
DEV0051,96,69,61,8359,0
DEV0474,24,94,66,4670,0
DEV0212,75,50,69,4553,0
DEV0216,41,52,75,5675,0
DEV0076,96,97,89,2053,1
DEV0466,72,99,62,2668,0
DEV0495,95,30,53,8045,0
DEV0204,60,52,64,3808,0
DEV0166,34,26,57,5028,0
DEV0480,67,50,69,3499,0
DEV0383,72,67,47,9645,0
DEV0061,71,66,83,6670,0
DEV0305,31,97,68,542,0
DEV0279,67,72,43,700,0
DEV0260,67,99,52,4682,1
DEV0076,95,38,68,2886,0
DEV0209,58,25,71,2795,0
DEV0469,61,68,47,2152,0
DEV0037,51,92,67,731,0
DEV0093,79,69,40,3542,0
DEV0134,24,31,59,1854,0
DEV0239,63,42,71,7120,1
DEV0412,69,73,54,9870,0
DEV0136,17,88,44,125,0
DEV0223,62,78,61,8046,0
DEV0148,69,55,53,7397,0
DEV0400,14,22,66,6653,1
DEV0397,77,77,51,5859,0
DEV0252,15,74,52,7855,0
DEV0079,56,76,39,1229,0
DEV0244,64,36,61,5096,0
DEV0318,49,58,58,4245,0
DEV0461,61,87,48,5741,0
DEV0367,25,74,61,8733,0
DEV0450,22,64,70,5997,0
DEV0120,39,95,57,7469,0
DEV0309,28,20,62,3995,0
DEV0122,26,40,62,4897,0
DEV0212,72,40,47,1928,0
DEV0284,28,71,80,9827,0
DEV0254,67,62,55,659,0
DEV0018,64,71,66,9465,0
DEV0263,99,86,67,9376,0
DEV0277,99,63,58,4014,0
DEV0041,71,51,66,8530,0
DEV0423,32,29,62,8150,1
DEV0457,18,83,45,9763,0
DEV0364,21,98,56,7000,0
DEV0394,10,88,53,5687,0
DEV0031,67,87,55,5512,0
DEV0298,10,47,46,4712,0
DEV0461,43,72,71,3783,0
DEV0453,57,70,76,8496,0
DEV0315,98,72,69,7447,0
DEV0118,10,23,72,3700,1
DEV0360,25,98,56,6743,0
DEV0234,70,36,53,1313,0
DEV0422,73,86,52,7447,0
DEV0043,72,93,66,3191,0
DEV0228,78,66,62,1482,1
DEV0386,31,75,59,3780,0
DEV0134,76,42,72,9971,0
DEV0333,85,37,64,8298,0
DEV0157,35,20,51,3598,1
DEV0492,25,54,53,8587,1
DEV0206,60,83,66,5606,0
DEV0414,95,77,70,8555,0
DEV0089,66,78,65,2237,0
DEV0424,38,20,78,7755,0
DEV0099,87,22,76,8224,0
DEV0037,78,86,64,5048,0
DEV0374,56,56,51,3965,1
DEV0391,71,48,46,5560,0
DEV0434,78,52,56,5548,0
DEV0486,85,80,67,4596,0
DEV0402,25,23,78,4552,1
DEV0392,99,33,64,6998,0
DEV0199,99,52,71,2646,1
DEV0482,57,41,57,5029,0
DEV0356,94,67,66,8410,0
DEV0055,48,22,68,7314,0
DEV0105,42,42,40,2495,0
DEV0432,32,87,55,7771,0
DEV0243,19,40,69,5614,1
DEV0074,78,62,62,1802,0
DEV0314,43,45,48,8821,0
DEV0104,61,60,35,3774,0
DEV0221,19,57,56,8594,0
DEV0016,28,30,59,4351,0
DEV0409,67,48,51,113,0
DEV0029,10,79,61,7287,0
DEV0264,78,86,65,2903,0
DEV0468,13,84,66,988,0
DEV0356,25,80,36,9488,0
DEV0379,33,38,46,4640,0
DEV0183,89,65,56,8190,0
DEV0052,11,68,65,2269,1
DEV0347,41,41,64,3751,1
DEV0333,93,97,64,8117,0
DEV0410,33,76,56,8340,0
DEV0106,21,33,56,280,0
DEV0025,59,63,52,3978,0
DEV0092,44,35,67,9709,0
DEV0329,42,96,50,3564,0
DEV0377,42,31,68,629,0
DEV0026,70,74,62,5871,0
DEV0460,60,70,59,4779,1
DEV0090,52,58,53,8040,0
DEV0175,21,52,46,1386,0
DEV0342,76,52,53,2290,0
DEV0385,74,48,56,8998,1
DEV0448,42,88,36,8585,1
DEV0396,49,89,58,1661,0
DEV0408,83,50,69,5728,0
DEV0030,52,99,65,2711,0
DEV0014,53,50,55,6660,0
DEV0407,38,65,60,760,0
DEV0130,22,96,54,3278,0
DEV0131,21,71,61,3489,0
DEV0006,55,29,75,3163,0
DEV0211,11,93,69,6501,0
DEV0149,44,60,65,8227,0
DEV0493,96,96,55,2940,0
DEV0276,90,22,67,6409,1
DEV0149,99,78,43,7292,0
DEV0040,17,71,57,6154,0
DEV0196,35,53,65,6246,0
DEV0409,83,68,67,6661,0
DEV0371,99,47,66,8660,0
DEV0124,43,32,62,638,0
DEV0071,16,88,58,3027,0
DEV0199,77,86,65,2493,0
DEV0033,67,80,50,9022,1
DEV0307,84,79,51,996,1
DEV0090,38,90,60,6967,1
DEV0465,45,43,61,6445,1
DEV0456,98,82,41,2468,0
DEV0090,30,80,64,4659,0
DEV0373,45,42,67,7847,1
DEV0335,19,49,59,2480,0
DEV0276,82,79,83,114,0
DEV0275,33,37,53,9645,0
DEV0199,73,75,56,3235,0
DEV0440,58,72,56,2377,0
DEV0056,45,26,59,8302,0
DEV0237,91,88,56,1756,0
DEV0001,33,91,45,9539,0
DEV0167,32,98,54,1760,1
DEV0037,71,71,59,1863,0
DEV0274,46,23,72,8833,0
DEV0456,21,53,82,1629,0
DEV0079,64,88,73,7965,0
DEV0242,22,52,52,5938,0
DEV0134,32,88,53,7010,1
DEV0252,98,57,58,9472,0
DEV0357,39,45,77,2717,0
DEV0022,26,20,58,2854,0
DEV0267,71,23,46,9220,0
DEV0218,93,58,54,8201,0
DEV0072,98,73,67,1526,0
DEV0009,95,52,66,8167,0
DEV0397,22,52,57,5308,0
DEV0387,68,91,66,6322,0
DEV0451,28,39,37,7908,0
DEV0135,58,35,61,2161,0
DEV0195,21,40,68,2663,0
DEV0459,70,64,51,2903,1
DEV0302,28,81,51,6309,0
DEV0058,85,50,41,2393,0
DEV0284,18,61,75,1725,0
DEV0490,80,31,52,5909,0
DEV0287,37,84,62,671,0
DEV0308,87,92,66,7499,0
DEV0251,61,22,75,2500,0
DEV0393,92,28,58,8674,0
DEV0091,25,70,54,5929,0
DEV0204,78,35,61,1183,0
DEV0008,21,97,72,2049,0
DEV0108,34,22,58,5630,0
DEV0233,61,43,50,5302,0
DEV0342,94,92,44,5530,0
DEV0274,62,32,47,3597,0
DEV0120,32,21,68,5596,1
DEV0478,25,90,56,5030,0
DEV0305,66,40,53,3494,0
DEV0011,48,38,52,9495,0
DEV0373,62,66,60,873,0
DEV0386,51,41,57,7893,0
DEV0413,67,94,57,2697,0
DEV0183,48,52,73,9695,0
DEV0309,23,51,75,8081,1
DEV0410,14,83,43,3161,0
DEV0179,44,58,63,3425,0
DEV0206,96,91,52,1503,0
DEV0092,84,61,57,3420,0
DEV0227,27,28,63,7339,0
DEV0006,85,44,57,6749,0
DEV0356,18,21,62,7520,0
DEV0012,83,38,66,7239,0
DEV0250,67,39,62,969,0
DEV0418,26,89,53,6542,0
DEV0377,16,36,53,9375,0
DEV0198,55,87,45,1073,0
DEV0127,22,22,51,9517,0
DEV0448,49,70,79,1288,0
DEV0037,51,45,52,5247,0
DEV0381,18,75,48,3543,0
DEV0421,59,83,63,5784,0
DEV0008,36,27,58,1421,0
DEV0165,75,56,58,2123,0
DEV0120,14,46,74,6840,0
DEV0232,38,64,65,5568,0
DEV0225,46,23,54,538,0
DEV0372,47,56,55,264,1
DEV0233,92,90,54,5778,1
DEV0430,17,52,68,7935,0
DEV0287,74,50,56,3437,0
DEV0226,95,74,42,3450,0
DEV0395,26,31,59,1087,0
DEV0420,80,30,44,2629,1
DEV0452,98,91,81,4712,0
DEV0145,54,51,50,3945,0
DEV0250,13,76,58,5856,0
DEV0272,45,57,62,8205,0
DEV0286,79,79,57,1426,0
DEV0039,40,38,57,8319,0
DEV0044,28,75,64,7024,0
DEV0497,70,33,75,4693,0
DEV0453,63,52,67,6762,1
DEV0488,48,29,74,293,0
DEV0372,83,99,49,8883,0
DEV0037,99,83,63,2589,0
DEV0491,28,83,61,6501,0
DEV0410,48,81,63,8404,1
DEV0256,76,87,73,9609,0
DEV0476,54,62,57,1837,0
DEV0211,22,99,55,2161,0
DEV0405,67,78,65,9982,0
DEV0092,29,71,42,6383,0
DEV0019,81,38,57,9686,0
DEV0100,70,40,58,6940,0
DEV0395,48,41,50,3659,0
DEV0147,10,28,70,5561,0
DEV0069,12,28,49,7699,0
DEV0130,86,92,58,3983,0
DEV0025,71,46,62,3351,0
DEV0115,72,36,73,5153,0
DEV0090,34,63,59,3114,0
DEV0286,65,64,69,1228,0
DEV0273,42,27,67,6965,0
DEV0341,47,99,61,6572,0
DEV0212,15,37,49,7516,0
DEV0402,67,52,45,1796,0
DEV0111,53,20,61,8424,1
DEV0464,54,95,54,7507,0
DEV0348,41,25,69,7345,0
DEV0076,54,60,67,4765,0
DEV0296,70,74,58,4320,0
DEV0390,56,24,48,7674,0
DEV0088,30,78,65,6270,0
DEV0498,89,99,49,411,0
DEV0427,94,37,52,5534,0
DEV0454,84,68,50,501,0
DEV0401,45,84,58,5654,1
DEV0170,28,73,71,1696,0
DEV0147,29,80,59,221,1
DEV0367,66,27,55,850,0
DEV0240,27,22,44,205,0
DEV0055,56,44,65,7034,1
DEV0092,58,88,52,9351,0
DEV0253,23,74,61,3338,1
DEV0157,24,59,56,1344,0
DEV0369,40,69,68,8367,0
DEV0438,10,52,58,6965,0
DEV0455,63,37,59,9301,0
DEV0467,12,76,64,3382,0
DEV0251,25,35,81,2375,0
DEV0264,96,99,68,3908,1
DEV0008,66,57,59,8744,0
DEV0325,84,60,60,865,0
DEV0299,21,26,54,4682,0
DEV0098,83,97,50,2815,0
DEV0050,25,72,54,1597,0
DEV0213,81,82,52,2938,0
DEV0004,85,51,66,6136,0
DEV0364,33,57,49,5166,0
DEV0292,37,41,73,589,0
DEV0389,17,35,67,6474,0
DEV0241,45,71,60,2035,1
DEV0471,99,48,60,2849,1
DEV0019,17,35,54,9395,0
DEV0426,67,95,62,7912,0
DEV0366,69,36,70,9891,0
DEV0399,59,83,52,7564,0
DEV0442,37,32,44,7877,1
DEV0270,50,91,67,8517,0
DEV0304,73,75,63,6386,0
DEV0328,36,24,48,4249,0
DEV0201,72,31,52,5948,1
DEV0104,26,60,51,7756,0
DEV0331,82,22,52,2445,0
DEV0364,42,52,56,5649,0
DEV0366,93,69,57,6780,0
DEV0082,86,75,53,8870,0
DEV0319,38,28,52,1798,0
DEV0055,22,69,57,7084,0
DEV0288,55,48,61,6137,1
DEV0236,44,58,56,5356,1
DEV0164,15,64,71,6651,0
DEV0365,91,36,65,378,0
DEV0085,78,75,44,1568,1
DEV0219,56,65,65,9232,0
DEV0368,34,86,66,2418,0
DEV0362,75,88,55,4636,1
DEV0213,19,33,45,5447,0
DEV0203,65,86,60,6039,0
DEV0313,39,42,59,1883,0
DEV0300,14,80,48,6730,0
DEV0242,42,42,45,3326,0
DEV0162,74,46,59,9277,0
DEV0179,27,73,57,2919,0
DEV0453,58,29,55,4070,0
DEV0092,20,96,59,524,0
DEV0500,94,35,48,2205,0
DEV0138,35,60,55,2570,0
DEV0112,72,74,65,5994,1
DEV0396,98,80,56,3894,0
DEV0169,95,68,43,2991,0
DEV0387,68,92,55,9975,1
DEV0321,36,71,49,3247,0
DEV0101,58,21,62,4151,0
DEV0296,86,69,63,3751,1
DEV0497,42,62,43,8001,0
DEV0193,10,96,67,1274,0
